Site,Species,PlantNo,Height,Width,CanopyDepth,Thickness,Thickness,Thickness,Thickness,Thickness,AverageThickness,DateCollected,Treatment
A2,Lomandra longifolia,2,0.76,0.52,.,0.6,0.5,0.5,0.5,0.4,0.5,6/05/2021,Exclosure
A2,Lomandra longifolia,4,0.7,0.92,.,0.5,0.6,0.5,0.5,0.4,0.5,6/05/2021,Exclosure
A2,Lomandra longifolia,5,0.79,1.2,.,0.4,0.3,0.7,0.1,0.5,0.4,6/05/2021,Exclosure
A4,Lomandra longifolia,4,0.8,0.82,.,0.4,0.9,0.7,0.7,0.7,0.68,6/05/2021,Open
A4,Lomandra longifolia,1,0.94,1.57,.,0.9,0.6,0.7,0.6,0.5,0.66,6/05/2021,Open
A4,Lomandra longifolia,2,0.52,0.89,.,0.6,0.5,0.7,0.5,0.6,0.58,6/05/2021,Open
A4,Lomandra longifolia,5,0.68,0.51,.,0.5,0.5,0.7,0.5,0.6,0.56,6/05/2021,Open
A4,Lomandra longifolia,3,1.19,1.25,.,0.5,0.5,0.6,0.5,0.5,0.52,6/05/2021,Open
A5,Lomandra longifolia,1,0.77,0.55,.,0.7,0.8,0.5,0.7,0.7,0.68,6/05/2021,Exclosure
A5,Lomandra longifolia,3,0.93,0.77,.,0.6,0.4,0.4,0.5,0.6,0.5,6/05/2021,Exclosure
A5,Lomandra longifolia,4,0.67,0.74,.,0.4,0.4,0.5,0.4,0.5,0.44,6/05/2021,Exclosure
A5,Lomandra longifolia,5,0.32,0.93,.,0.4,0.4,0.5,0.4,0.5,0.44,6/05/2021,Exclosure
A5,Lomandra longifolia,2,0.93,0.88,.,0.5,0.5,0.2,0.4,0.5,0.42,6/05/2021,Exclosure
B1,Lomandra longifolia,2,1.07,1.74,.,0.8,0.6,0.6,0.5,0.7,0.64,8/05/2021,Open
B1,Lomandra longifolia,4,1.01,0.98,.,0.7,0.6,0.5,0.5,0.5,0.56,8/05/2021,Open
B1,Lomandra longifolia,3,0.98,1.25,.,0.5,0.5,0.5,0.5,0.4,0.48,8/05/2021,Open
B1,Lomandra longifolia,5,0.88,0.83,.,0.5,0.5,0.4,0.5,0.5,0.48,8/05/2021,Open
B1,Lomandra longifolia,1,0.7,1.22,.,0.4,0.3,0.6,0.4,0.4,0.42,8/05/2021,Open
B3,Lomandra longifolia,2,1.2,0.68,.,0.7,0.5,0.4,0.5,0.4,0.5,8/05/2021,Exclosure
B3,Lomandra longifolia,5,0.77,0.84,.,0.6,0.5,0.4,0.5,0.5,0.5,8/05/2021,Exclosure
B3,Lomandra longifolia,1,0.88,0.64,.,0.5,0.4,0.6,0.4,0.5,0.48,8/05/2021,Exclosure
B3,Lomandra longifolia,3,0.68,0.51,.,0.4,0.5,0.5,0.4,0.5,0.46,8/05/2021,Exclosure
B3,Lomandra longifolia,4,0.83,1.05,.,0.4,0.4,0.6,0.3,0.4,0.42,8/05/2021,Exclosure
B4,Lomandra longifolia,4,0.77,0.87,.,0.4,0.5,0.3,0.7,0.5,0.48,10/05/2021,Exclosure
B4,Lomandra longifolia,2,0.81,1.09,.,0.6,0.4,0.4,0.6,0.3,0.46,10/05/2021,Exclosure
B4,Lomandra longifolia,3,0.91,1.2,.,0.4,0.5,0.5,0.5,0.4,0.46,10/05/2021,Exclosure
B4,Lomandra longifolia,1,0.58,0.39,.,0.5,0.5,0.5,0.4,0.3,0.44,10/05/2021,Exclosure
B4,Lomandra longifolia,5,0.76,0.94,.,0.4,0.4,0.5,0.4,0.4,0.42,10/05/2021,Exclosure
B6,Lomandra longifolia,1,0.93,1.08,.,0.4,0.4,0.5,0.5,0.4,0.44,10/05/2021,Open
B6,Lomandra longifolia,4,0.77,0.98,.,0.5,0.3,0.4,0.4,0.4,0.4,10/05/2021,Open
B6,Lomandra longifolia,2,1.04,1.23,.,0.5,0.4,0.3,0.3,0.4,0.38,10/05/2021,Open
B6,Lomandra longifolia,5,0.97,0.73,.,0.4,0.3,0.3,0.3,0.4,0.34,10/05/2021,Open
B6,Lomandra longifolia,3,0.57,0.96,.,0.3,0.3,0.3,0.4,0.4,0.34,10/05/2021,Open
C1,Lomandra longifolia,5,0.84,0.55,.,0.7,0.5,0.5,0.5,0.9,0.62,12/05/2021,Open
C1,Lomandra longifolia,1,1.35,0.81,.,0.5,0.4,0.4,0.7,0.5,0.5,12/05/2021,Open
C1,Lomandra longifolia,2,0.93,1.1,.,0.5,0.5,0.4,0.6,0.5,0.5,12/05/2021,Open
C1,Lomandra longifolia,4,0.86,0.57,.,0.5,0.5,0.5,0.5,0.5,0.5,12/05/2021,Open
C1,Lomandra longifolia,3,1.06,1.07,.,0.3,0.3,0.4,0.4,0.3,0.34,12/05/2021,Open
C3,Lomandra longifolia,5,0.73,0.95,.,0.9,1,0.4,0.7,0.4,0.68,11/05/2021,Exclosure
C3,Lomandra longifolia,3,0.68,0.76,.,0.7,0.6,0.7,0.5,0.5,0.6,11/05/2021,Exclosure
C3,Lomandra longifolia,1,0.78,0.57,.,0.5,0.9,0.4,0.3,0.5,0.52,11/05/2021,Exclosure
C3,Lomandra longifolia,2,0.78,0.84,.,0.5,0.4,0.5,0.4,0.7,0.5,11/05/2021,Exclosure
C3,Lomandra longifolia,4,0.98,1.01,.,0.3,0.3,0.5,0.5,0.4,0.4,11/05/2021,Exclosure
C4,Lomandra longifolia,2,0.54,0.76,.,0.6,0.5,0.5,0.6,0.5,0.54,11/05/2021,Exclosure
C4,Lomandra longifolia,3,0.61,0.63,.,0.4,0.5,0.6,0.3,0.8,0.52,11/05/2021,Exclosure
C4,Lomandra longifolia,1,0.58,0.49,.,0.5,0.5,0.5,0.5,0.5,0.5,11/05/2021,Exclosure
C4,Lomandra longifolia,4,0.94,1.67,.,0.4,0.4,0.5,0.5,0.7,0.5,11/05/2021,Exclosure
C4,Lomandra longifolia,5,0.35,0.83,.,0.3,0.4,0.5,0.3,0.3,0.36,11/05/2021,Exclosure
C6,Lomandra longifolia,1,1.18,1.23,.,1,0.7,0.7,1,0.5,0.78,12/05/2021,Open
C6,Lomandra longifolia,3,0.69,0.98,.,0.9,0.1,0.3,1.1,0.5,0.58,12/05/2021,Open
C6,Lomandra longifolia,5,0.99,0.71,.,0.5,0.5,0.5,0.5,0.8,0.56,12/05/2021,Open
C6,Lomandra longifolia,2,0.82,0.97,.,0.4,0.8,0.5,0.5,0.5,0.54,12/05/2021,Open
C6,Lomandra longifolia,4,0.7,1.26,.,0.3,0.8,0.5,0.5,0.3,0.48,12/05/2021,Open
A1,Pteridium esculentum,4,.,0.45,.,0.5,0.5,0.4,0.5,0.5,0.48,.,Open
A1,Pteridium esculentum,3,.,0.55,.,0.5,0.5,0.5,0.4,0.4,0.46,.,Open
A1,Pteridium esculentum,5,0.61,0.37,0.01,0.4,0.4,0.4,0.5,0.4,0.42,7/05/2021,Open
A1,Pteridium esculentum,1,0.72,0.57,0.22,0.4,0.4,0.4,0.5,0.3,0.4,7/05/2021,Open
A1,Pteridium esculentum,2,0.87,0.6,0.05,0.4,0.4,0.5,0.4,0.3,0.4,7/05/2021,Open
A2,Pteridium esculentum,1,0.88,0.72,0.26,0.4,0.5,0.5,0.5,0.5,0.48,6/05/2021,Exclosure
A2,Pteridium esculentum,2,0.74,0.59,0.1,0.4,0.5,0.4,0.5,0.4,0.44,6/05/2021,Exclosure
A2,Pteridium esculentum,3,0.89,0.7,0.06,0.5,0.3,0.4,0.5,0.5,0.44,6/05/2021,Exclosure
A2,Pteridium esculentum,4,1.26,0.85,0.35,0.4,0.5,0.4,0.4,0.5,0.44,6/05/2021,Exclosure
A2,Pteridium esculentum,5,0.53,0.42,0.07,0.4,0.4,0.4,0.4,0.4,0.4,6/05/2021,Exclosure
A5,Pteridium esculentum,3,1.06,0.91,0.36,0.6,0.5,0.5,0.4,0.7,0.54,6/05/2021,Exclosure
A5,Pteridium esculentum,1,1.27,0.61,0.32,0.5,0.5,0.5,0.5,0.5,0.5,6/05/2021,Exclosure
A5,Pteridium esculentum,2,1.15,0.87,0.34,0.5,0.5,0.4,0.5,0.6,0.5,6/05/2021,Exclosure
A5,Pteridium esculentum,5,1.12,0.83,0.18,0.4,0.4,0.5,0.5,0.4,0.44,6/05/2021,Exclosure
A5,Pteridium esculentum,4,1.25,0.76,0.41,0.4,0.4,0.5,0.4,0.4,0.42,6/05/2021,Exclosure
B1,Pteridium esculentum,3,0.99,0.8,0.27,0.4,0.4,0.5,0.5,0.4,0.44,7/05/2021,Open
B1,Pteridium esculentum,1,0.94,0.73,0.28,0.5,0.5,0.4,0.4,0.4,0.44,7/05/2021,Open
B1,Pteridium esculentum,4,0.54,0.44,0.07,0.6,0.5,0.3,0.4,0.3,0.42,7/05/2021,Open
B1,Pteridium esculentum,5,.,0.59,.,0.4,0.4,0.4,0.5,0.4,0.42,7/05/2021,Open
B1,Pteridium esculentum,2,0.9,0.69,0.18,0.4,0.4,0.4,0.4,0.4,0.4,7/05/2021,Open
B3,Pteridium esculentum,5,0.95,0.83,0.14,0.6,0.5,0.4,0.5,0.5,0.5,8/05/2021,Exclosure
B3,Pteridium esculentum,1,1.2,0.87,0.56,0.5,0.5,0.3,0.5,0.5,0.46,8/05/2021,Exclosure
B3,Pteridium esculentum,3,0.81,0.58,0.18,0.4,0.5,0.5,0.4,0.5,0.46,8/05/2021,Exclosure
B3,Pteridium esculentum,2,1.12,0.96,0.44,0.4,0.5,0.4,0.5,0.4,0.44,8/05/2021,Exclosure
B3,Pteridium esculentum,4,0.91,0.84,0.16,0.4,0.4,0.6,0.3,0.4,0.42,8/05/2021,Exclosure
B4,Pteridium esculentum,3,0.94,0.84,0.32,0.3,0.3,0.4,0.5,0.4,0.38,10/05/2021,Exclosure
B4,Pteridium esculentum,4,1,0.8,0.79,0.4,0.4,0.3,0.4,0.4,0.38,10/05/2021,Exclosure
B4,Pteridium esculentum,2,1.4,0.76,0.59,0.4,0.4,0.3,0.3,0.3,0.34,10/05/2021,Exclosure
B4,Pteridium esculentum,1,0.75,0.64,0.2,0.4,0.4,0.3,0.3,0.2,0.32,10/05/2021,Exclosure
B4,Pteridium esculentum,5,0.79,0.71,0.29,0.3,0.3,0.3,0.3,0.3,0.3,10/05/2021,Exclosure
B6,Pteridium esculentum,4,0.78,0.69,0.29,0.5,0.3,0.4,0.4,0.4,0.4,10/05/2021,Open
B6,Pteridium esculentum,5,0.87,0.67,0.2,0.4,0.3,0.3,0.3,0.4,0.34,10/05/2021,Open
B6,Pteridium esculentum,2,0.97,0.7,0.27,0.4,0.3,0.3,0.4,0.3,0.34,10/05/2021,Open
B6,Pteridium esculentum,3,1.09,0.64,0.41,0.3,0.3,0.3,0.4,0.4,0.34,10/05/2021,Open
B6,Pteridium esculentum,1,0.76,0.84,0.13,0.2,0.3,0.2,0.3,0.4,0.28,10/05/2021,Open
C1,Pteridium esculentum,4,0.69,0.85,0.13,0.4,0.4,0.4,0.4,0.4,0.4,12/05/2021,Open
C1,Pteridium esculentum,5,0.65,0.61,0.14,0.4,0.4,0.4,0.4,0.3,0.38,12/05/2021,Open
C1,Pteridium esculentum,3,0.66,0.8,0.19,0.4,0.4,0.4,0.3,0.3,0.36,12/05/2021,Open
C1,Pteridium esculentum,1,0.69,0.63,0.26,0.4,0.4,0.2,0.4,0.4,0.36,12/05/2021,Open
C1,Pteridium esculentum,2,0.64,0.7,0.28,0.2,0.4,0.3,0.3,0.4,0.32,12/05/2021,Open
C3,Pteridium esculentum,5,1.21,1.19,0.49,0.4,0.3,0.4,0.4,0.4,0.38,11/05/2021,Exclosure
C3,Pteridium esculentum,2,0.96,0.87,0.52,0.4,0.5,0.4,0.3,0.2,0.36,11/05/2021,Exclosure
C3,Pteridium esculentum,3,1.04,0.69,0.46,0.3,0.5,0.3,0.3,0.3,0.34,11/05/2021,Exclosure
C3,Pteridium esculentum,4,0.8,1.1,0.53,0.3,0.3,0.3,0.3,0.4,0.32,11/05/2021,Exclosure
C3,Pteridium esculentum,1,0.98,0.6,0.36,0.2,0.3,0.3,0.3,0.2,0.26,11/05/2021,Exclosure
C4,Pteridium esculentum,5,1.17,1.23,0.36,0.5,0.5,0.3,0.4,0.4,0.42,11/05/2021,Exclosure
C4,Pteridium esculentum,1,0.73,0.83,0.19,0.4,0.3,0.5,0.4,0.3,0.38,11/05/2021,Exclosure
C4,Pteridium esculentum,2,0.99,0.68,0.32,0.3,0.3,0.4,0.3,0.3,0.32,11/05/2021,Exclosure
C4,Pteridium esculentum,3,1.02,1.06,0.03,0.3,0.3,0.3,0.3,0.3,0.3,11/05/2021,Exclosure
C4,Pteridium esculentum,4,0.88,0.88,0.17,0.3,0.3,0.3,0.3,0.3,0.3,11/05/2021,Exclosure
C6,Pteridium esculentum,3,1.19,0.92,0.4,0.5,0.5,0.5,0.5,0.5,0.5,12/05/2021,Open
C6,Pteridium esculentum,2,0.99,0.91,0.37,0.5,0.3,0.4,0.3,0.5,0.4,12/05/2021,Open
C6,Pteridium esculentum,5,0.88,1,0.34,0.3,0.4,0.4,0.4,0.4,0.38,12/05/2021,Open
C6,Pteridium esculentum,1,0.93,0.62,0.14,0.3,0.4,0.4,0.3,0.4,0.36,12/05/2021,Open
C6,Pteridium esculentum,4,0.74,0.52,0.2,0.4,0.4,0.3,0.3,0.4,0.36,12/05/2021,Open
A4,Pteridium esculentum,2,0.63,0.79,0.2,0.5,0.7,0.5,0.4,0.5,0.52,5/05/2021,Open
A4,Pteridium esculentum,5,0.88,0.62,0.26,0.5,0.6,0.5,0.4,0.5,0.5,5/05/2021,Open
A4,Pteridium esculentum,1,1.11,0.77,0.23,0.5,0.6,0.3,0.5,0.4,0.46,5/05/2021,Open
A4,Pteridium esculentum,3,0.6,0.58,0.14,0.4,0.3,0.5,0.4,0.5,0.42,5/05/2021,Open
A4,Pteridium esculentum,4,0.82,1.02,0.18,0.3,0.5,0.3,0.4,0.3,0.36,5/05/2021,Open
A1,Themeda australis,1,0.57,0.58,.,0.1,0.1,0.1,0.1,0.1,0.1,7/05/2021,Open
A1,Themeda australis,2,0.62,0.84,.,0.1,0.1,0.1,0.1,0.1,0.1,7/05/2021,Open
A1,Themeda australis,3,0.66,1.27,.,0.1,0.1,0.1,0.1,0.1,0.1,7/05/2021,Open
A5,Themeda australis,5,0.98,0.71,.,0.2,0.2,0.1,0.2,0.1,0.16,6/05/2021,Exclosure
A5,Themeda australis,4,0.76,0.56,.,0.1,0.1,0.2,0.1,0.2,0.14,6/05/2021,Exclosure
A5,Themeda australis,1,0.71,0.42,.,0.1,0.1,0.1,0.1,0.1,0.1,6/05/2021,Exclosure
A5,Themeda australis,2,0.6,0.62,.,0.1,0.1,0.1,0.1,0.1,0.1,6/05/2021,Exclosure
A5,Themeda australis,3,0.72,0.57,.,0.1,0.1,0.1,0.1,0.1,0.1,6/05/2021,Exclosure
B1,Themeda australis,1,0.62,0.52,.,0.1,0.1,0.1,0.1,0.1,0.1,8/05/2021,Open
B1,Themeda australis,2,0.61,0.51,.,0.1,0.1,0.1,0.1,0.1,0.1,8/05/2021,Open
B3,Themeda australis,1,0.6,0.39,.,0.1,0.1,0.1,0.1,0.1,0.1,8/05/2021,Exclosure
B3,Themeda australis,2,0.64,0.52,.,0.1,0.1,0.1,0.1,0.1,0.1,8/05/2021,Exclosure
B4,Themeda australis,1,0.63,0.83,.,0.1,0.1,0.1,0.1,0.1,0.1,10/05/2021,Exclosure
B4,Themeda australis,2,0.5,1,.,0.1,0.1,0.1,0.1,0.1,0.1,10/05/2021,Exclosure
B4,Themeda australis,3,0.71,0.9,.,0.1,0.1,0.1,0.1,0.1,0.1,10/05/2021,Exclosure
B4,Themeda australis,4,0.47,1.26,.,0.1,0.1,0.1,0.1,0.1,0.1,10/05/2021,Exclosure
B4,Themeda australis,5,0.5,1.58,.,0.1,0.1,0.1,0.1,0.1,0.1,10/05/2021,Exclosure
B6,Themeda australis,3,0.82,0.34,.,0.1,0.1,0.2,0.1,0.1,0.12,10/05/2021,Open
B6,Themeda australis,4,0.65,0.55,.,0.1,0.1,0.1,0.2,0.1,0.12,10/05/2021,Open
B6,Themeda australis,1,0.51,1.3,.,0.1,0.1,0.1,0.1,0.1,0.1,10/05/2021,Open
B6,Themeda australis,2,0.43,0.43,.,0.1,0.1,0.1,0.1,0.1,0.1,10/05/2021,Open
B6,Themeda australis,5,0.2,0.24,.,0.1,0.1,0.1,0.1,0.1,0.1,10/05/2021,Open
C1,Themeda australis,1,0.7,0.96,.,0.2,0.1,0.1,0.2,0.1,0.14,12/05/2021,Open
C1,Themeda australis,2,0.5,0.38,.,0.1,0.1,0.1,0.1,0.1,0.1,12/05/2021,Open
C1,Themeda australis,3,0.69,0.7,.,0.1,0.1,0.1,0.1,0.1,0.1,12/05/2021,Open
C1,Themeda australis,4,0.7,1.06,.,0.1,0.1,0.1,0.1,0.1,0.1,12/05/2021,Open
C1,Themeda australis,5,0.53,0.84,.,0.1,0.1,0.1,0.1,0.1,0.1,12/05/2021,Open
C3,Themeda australis,1,0.39,0.67,.,0.1,0.1,0.1,0.1,0.1,0.1,11/05/2021,Exclosure
C3,Themeda australis,2,0.49,0.89,.,0.1,0.1,0.1,0.1,0.1,0.1,11/05/2021,Exclosure
C3,Themeda australis,3,0.63,0.73,.,0.1,0.1,0.1,0.1,0.1,0.1,11/05/2021,Exclosure
C3,Themeda australis,4,0.37,0.64,.,0.1,0.1,0.1,0.1,0.1,0.1,11/05/2021,Exclosure
C3,Themeda australis,5,0.66,1.5,.,0.1,0.1,0.1,0.1,0.1,0.1,11/05/2021,Exclosure
C4,Themeda australis,4,0.43,0.67,.,0.2,0.1,0.1,0.1,0.1,0.12,11/05/2021,Exclosure
C4,Themeda australis,1,0.6,2.02,.,0.1,0.1,0.1,0.1,0.1,0.1,11/05/2021,Exclosure
C4,Themeda australis,2,0.51,1.05,.,0.1,0.1,0.1,0.1,0.1,0.1,11/05/2021,Exclosure
C4,Themeda australis,3,0.39,0.6,.,0.1,0.1,0.1,0.1,0.1,0.1,11/05/2021,Exclosure
C4,Themeda australis,5,0.63,1.75,.,0.1,0.1,0.1,0.1,0.1,0.1,11/05/2021,Exclosure
C6,Themeda australis,1,0.47,0.62,.,0.1,0.1,0.1,0.1,0.1,0.1,12/05/2021,Open
C6,Themeda australis,2,0.36,0.55,.,0.1,0.1,0.1,0.1,0.1,0.1,12/05/2021,Open
C6,Themeda australis,3,0.61,0.93,.,0.1,0.1,0.1,0.1,0.1,0.1,12/05/2021,Open
C6,Themeda australis,4,0.41,0.59,.,0.1,0.1,0.1,0.1,0.1,0.1,12/05/2021,Open
C6,Themeda australis,5,0.47,0.67,.,0.1,0.1,0.1,0.1,0.1,0.1,12/05/2021,Open
