Site,Pool,Access_point,Transect,Plot_number,plot_ID,SimpleSpecies,Relation_to_spring,cover,region,if_kill
Powerful Women Spring,Powerful Women Spring,river_right,Upstream,3,Powerful Women Spring_Powerful Women Spring_river_right_Upstream_3_Distal,Herb,Distal,0.2,Southern Panamints,burro kills present
Upper Galena,Upper Galena,river_right,Central,1,Upper Galena_Upper Galena_river_right_Central_1_Proximate,trampled BG,Proximate,1,Southern Panamints,burro kills present
Upper Galena,Upper Galena,river_right,Central,2,Upper Galena_Upper Galena_river_right_Central_2_Middle,trampled BG,Middle,0.8,Southern Panamints,burro kills present
Upper Galena,Upper Galena,river_right,Central,2,Upper Galena_Upper Galena_river_right_Central_2_Middle,BG,Middle,0.2,Southern Panamints,burro kills present
Upper Galena,Upper Galena,river_right,Central,3,Upper Galena_Upper Galena_river_right_Central_3_Distal,trampled BG,Distal,0.8,Southern Panamints,burro kills present
Upper Galena,Upper Galena,river_right,Central,3,Upper Galena_Upper Galena_river_right_Central_3_Distal,BG,Distal,0.2,Southern Panamints,burro kills present
Upper Galena,Upper Galena,river_right,Upstream,1,Upper Galena_Upper Galena_river_right_Upstream_1_Distal,trampled BG,Distal,1,Southern Panamints,burro kills present
Upper Galena,Upper Galena,river_right,Upstream,2,Upper Galena_Upper Galena_river_right_Upstream_2_Middle,trampled BG,Middle,0.5,Southern Panamints,burro kills present
Upper Galena,Upper Galena,river_right,Upstream,2,Upper Galena_Upper Galena_river_right_Upstream_2_Middle,BG,Middle,0.5,Southern Panamints,burro kills present
Upper Galena,Upper Galena,river_right,Upstream,3,Upper Galena_Upper Galena_river_right_Upstream_3_Proximate,trampled BG,Proximate,0.8,Southern Panamints,burro kills present
Upper Galena,Upper Galena,river_right,Upstream,3,Upper Galena_Upper Galena_river_right_Upstream_3_Proximate,BG,Proximate,0.2,Southern Panamints,burro kills present
Upper Galena,Upper Galena,river_right,Downstream,1,Upper Galena_Upper Galena_river_right_Downstream_1_Proximate,Riparian,Proximate,1,Southern Panamints,burro kills present
Upper Galena,Upper Galena,river_right,Downstream,2,Upper Galena_Upper Galena_river_right_Downstream_2_Middle,Riparian,Middle,0.7,Southern Panamints,burro kills present
Upper Galena,Upper Galena,river_right,Downstream,2,Upper Galena_Upper Galena_river_right_Downstream_2_Middle,Upland shrub,Middle,0.3,Southern Panamints,burro kills present
Upper Galena,Upper Galena,river_right,Downstream,3,Upper Galena_Upper Galena_river_right_Downstream_3_Distal,litter,Distal,0.05,Southern Panamints,burro kills present
Upper Galena,Upper Galena,river_right,Downstream,3,Upper Galena_Upper Galena_river_right_Downstream_3_Distal,trampled BG,Distal,0.1,Southern Panamints,burro kills present
Upper Galena,Upper Galena,river_right,Downstream,3,Upper Galena_Upper Galena_river_right_Downstream_3_Distal,BG,Distal,0.9,Southern Panamints,burro kills present
Willow Spring,Lower pool,river_left,Central,1,Willow Spring_Lower pool_river_left_Central_1_Proximate,trampled BG,Proximate,1,Southern Panamints,burro kills present
Willow Spring,Lower pool,river_left,Central,2,Willow Spring_Lower pool_river_left_Central_2_Middle,trampled BG,Middle,1,Southern Panamints,burro kills present
Willow Spring,Lower pool,river_left,Central,3,Willow Spring_Lower pool_river_left_Central_3_Distal,trampled BG,Distal,0.65,Southern Panamints,burro kills present
Willow Spring,Lower pool,river_left,Central,3,Willow Spring_Lower pool_river_left_Central_3_Distal,BG,Distal,0.35,Southern Panamints,burro kills present
Willow Spring,Lower pool,river_left,Downstream,1,Willow Spring_Lower pool_river_left_Downstream_1_Distal,trampled BG,Distal,0.85,Southern Panamints,burro kills present
Willow Spring,Lower pool,river_left,Downstream,1,Willow Spring_Lower pool_river_left_Downstream_1_Distal,Herb,Distal,0.05,Southern Panamints,burro kills present
Willow Spring,Lower pool,river_left,Downstream,1,Willow Spring_Lower pool_river_left_Downstream_1_Distal,litter,Distal,0.05,Southern Panamints,burro kills present
Willow Spring,Lower pool,river_left,Downstream,1,Willow Spring_Lower pool_river_left_Downstream_1_Distal,BG,Distal,0.1,Southern Panamints,burro kills present
Willow Spring,Lower pool,river_left,Downstream,2,Willow Spring_Lower pool_river_left_Downstream_2_Middle,Riparian,Middle,1,Southern Panamints,burro kills present
Willow Spring,Lower pool,river_left,Downstream,3,Willow Spring_Lower pool_river_left_Downstream_3_Proximate,Riparian,Proximate,1,Southern Panamints,burro kills present
Willow Spring,Lower pool,river_left,Upstream,1,Willow Spring_Lower pool_river_left_Upstream_1_Distal,Riparian,Distal,1,Southern Panamints,burro kills present
Willow Spring,Lower pool,river_left,Upstream,1,Willow Spring_Lower pool_river_left_Upstream_1_Distal,litter,Distal,1,Southern Panamints,burro kills present
Willow Spring,Lower pool,river_left,Upstream,2,Willow Spring_Lower pool_river_left_Upstream_2_Middle,trampled BG,Middle,0.15,Southern Panamints,burro kills present
Willow Spring,Lower pool,river_left,Upstream,2,Willow Spring_Lower pool_river_left_Upstream_2_Middle,litter,Middle,0.85,Southern Panamints,burro kills present
Willow Spring,Lower pool,river_left,Upstream,2,Willow Spring_Lower pool_river_left_Upstream_2_Middle,Herb,Middle,0.7,Southern Panamints,burro kills present
Willow Spring,Lower pool,river_left,Upstream,2,Willow Spring_Lower pool_river_left_Upstream_2_Middle,Riparian,Middle,0.3,Southern Panamints,burro kills present
Willow Spring,Lower pool,river_left,Upstream,2,Willow Spring_Lower pool_river_left_Upstream_2_Middle,Upland shrub,Middle,0.4,Southern Panamints,burro kills present
Willow Spring,Lower pool,river_left,Upstream,3,Willow Spring_Lower pool_river_left_Upstream_3_Proximate,Riparian,Proximate,1,Southern Panamints,burro kills present
Willow Spring,Lower pool,river_left,Upstream,3,Willow Spring_Lower pool_river_left_Upstream_3_Proximate,litter,Proximate,1,Southern Panamints,burro kills present
Willow Spring,Middle pool,river_right,Central,1,Willow Spring_Middle pool_river_right_Central_1_Proximate,trampled BG,Proximate,1,Southern Panamints,burro kills present
Willow Spring,Middle pool,river_right,Central,2,Willow Spring_Middle pool_river_right_Central_2_Middle,trampled BG,Middle,0.95,Southern Panamints,burro kills present
Willow Spring,Middle pool,river_right,Central,2,Willow Spring_Middle pool_river_right_Central_2_Middle,litter,Middle,0.05,Southern Panamints,burro kills present
Willow Spring,Middle pool,river_right,Central,3,Willow Spring_Middle pool_river_right_Central_3_Distal,trampled BG,Distal,0,Southern Panamints,burro kills present
Willow Spring,Middle pool,river_right,Central,3,Willow Spring_Middle pool_river_right_Central_3_Distal,litter,Distal,0.6,Southern Panamints,burro kills present
Willow Spring,Middle pool,river_right,Central,3,Willow Spring_Middle pool_river_right_Central_3_Distal,Herb,Distal,0.35,Southern Panamints,burro kills present
Willow Spring,Middle pool,river_right,Downstream,1,Willow Spring_Middle pool_river_right_Downstream_1_Distal,Upland shrub,Distal,0.6,Southern Panamints,burro kills present
Willow Spring,Middle pool,river_right,Downstream,1,Willow Spring_Middle pool_river_right_Downstream_1_Distal,trampled BG,Distal,0.01,Southern Panamints,burro kills present
Willow Spring,Middle pool,river_right,Downstream,1,Willow Spring_Middle pool_river_right_Downstream_1_Distal,Herb,Distal,0.2,Southern Panamints,burro kills present
Willow Spring,Middle pool,river_right,Downstream,1,Willow Spring_Middle pool_river_right_Downstream_1_Distal,litter,Distal,0.7,Southern Panamints,burro kills present
Willow Spring,Middle pool,river_right,Downstream,2,Willow Spring_Middle pool_river_right_Downstream_2_Middle,trampled BG,Middle,0.95,Southern Panamints,burro kills present
Willow Spring,Middle pool,river_right,Downstream,2,Willow Spring_Middle pool_river_right_Downstream_2_Middle,litter,Middle,0.05,Southern Panamints,burro kills present
Willow Spring,Middle pool,river_right,Downstream,3,Willow Spring_Middle pool_river_right_Downstream_3_Proximate,Riparian,Proximate,1,Southern Panamints,burro kills present
Willow Spring,Middle pool,river_right,Downstream,3,Willow Spring_Middle pool_river_right_Downstream_3_Proximate,litter,Proximate,1,Southern Panamints,burro kills present
Willow Spring,Middle pool,river_right,Upstream,1,Willow Spring_Middle pool_river_right_Upstream_1_Proximate,Herb,Proximate,0.15,Southern Panamints,burro kills present
Willow Spring,Middle pool,river_right,Upstream,1,Willow Spring_Middle pool_river_right_Upstream_1_Proximate,litter,Proximate,0.1,Southern Panamints,burro kills present
Willow Spring,Middle pool,river_right,Upstream,1,Willow Spring_Middle pool_river_right_Upstream_1_Proximate,trampled BG,Proximate,0.8,Southern Panamints,burro kills present
Willow Spring,Middle pool,river_right,Upstream,1,Willow Spring_Middle pool_river_right_Upstream_1_Proximate,BG,Proximate,0.1,Southern Panamints,burro kills present
Willow Spring,Middle pool,river_right,Upstream,2,Willow Spring_Middle pool_river_right_Upstream_2_Middle,rock,Middle,0.3,Southern Panamints,burro kills present
Willow Spring,Middle pool,river_right,Upstream,2,Willow Spring_Middle pool_river_right_Upstream_2_Middle,Herb,Middle,0.1,Southern Panamints,burro kills present
Willow Spring,Middle pool,river_right,Upstream,2,Willow Spring_Middle pool_river_right_Upstream_2_Middle,litter,Middle,0.1,Southern Panamints,burro kills present
Willow Spring,Middle pool,river_right,Upstream,2,Willow Spring_Middle pool_river_right_Upstream_2_Middle,BG,Middle,0.4,Southern Panamints,burro kills present
Willow Spring,Middle pool,river_right,Upstream,2,Willow Spring_Middle pool_river_right_Upstream_2_Middle,trampled BG,Middle,0.2,Southern Panamints,burro kills present
Willow Spring,Middle pool,river_right,Upstream,3,Willow Spring_Middle pool_river_right_Upstream_3_Distal,Upland shrub,Distal,0.6,Southern Panamints,burro kills present
Willow Spring,Middle pool,river_right,Upstream,3,Willow Spring_Middle pool_river_right_Upstream_3_Distal,rock,Distal,0.1,Southern Panamints,burro kills present
Willow Spring,Middle pool,river_right,Upstream,3,Willow Spring_Middle pool_river_right_Upstream_3_Distal,litter,Distal,0.2,Southern Panamints,burro kills present
Willow Spring,Middle pool,river_right,Upstream,3,Willow Spring_Middle pool_river_right_Upstream_3_Distal,BG,Distal,0.1,Southern Panamints,burro kills present
Willow Spring,Lowest pool,river_right,Central,1,Willow Spring_Lowest pool_river_right_Central_1_Proximate,rock,Proximate,0.4,Southern Panamints,burro kills present
Willow Spring,Lowest pool,river_right,Central,1,Willow Spring_Lowest pool_river_right_Central_1_Proximate,Upland shrub,Proximate,0.3,Southern Panamints,burro kills present
Willow Spring,Lowest pool,river_right,Central,1,Willow Spring_Lowest pool_river_right_Central_1_Proximate,Herb,Proximate,0.01,Southern Panamints,burro kills present
Willow Spring,Lowest pool,river_right,Central,1,Willow Spring_Lowest pool_river_right_Central_1_Proximate,litter,Proximate,0.15,Southern Panamints,burro kills present
Willow Spring,Lowest pool,river_right,Central,1,Willow Spring_Lowest pool_river_right_Central_1_Proximate,trampled BG,Proximate,0.05,Southern Panamints,burro kills present
Willow Spring,Lowest pool,river_right,Central,2,Willow Spring_Lowest pool_river_right_Central_2_Middle,rock,Middle,0.6,Southern Panamints,burro kills present
Willow Spring,Lowest pool,river_right,Central,2,Willow Spring_Lowest pool_river_right_Central_2_Middle,Upland shrub,Middle,0.3,Southern Panamints,burro kills present
Willow Spring,Lowest pool,river_right,Central,2,Willow Spring_Lowest pool_river_right_Central_2_Middle,Herb,Middle,0.01,Southern Panamints,burro kills present
Willow Spring,Lowest pool,river_right,Central,2,Willow Spring_Lowest pool_river_right_Central_2_Middle,litter,Middle,0.15,Southern Panamints,burro kills present
Willow Spring,Lowest pool,river_right,Central,2,Willow Spring_Lowest pool_river_right_Central_2_Middle,trampled BG,Middle,0.05,Southern Panamints,burro kills present
Willow Spring,Lowest pool,river_right,Central,3,Willow Spring_Lowest pool_river_right_Central_3_Distal,rock,Distal,0.3,Southern Panamints,burro kills present
Willow Spring,Lowest pool,river_right,Central,3,Willow Spring_Lowest pool_river_right_Central_3_Distal,trampled BG,Distal,0,Southern Panamints,burro kills present
Willow Spring,Lowest pool,river_right,Central,3,Willow Spring_Lowest pool_river_right_Central_3_Distal,Upland shrub,Distal,0.1,Southern Panamints,burro kills present
Willow Spring,Lowest pool,river_right,Central,3,Willow Spring_Lowest pool_river_right_Central_3_Distal,litter,Distal,0.01,Southern Panamints,burro kills present
Willow Spring,Lowest pool,river_right,Upstream,1,Willow Spring_Lowest pool_river_right_Upstream_1_Distal,trampled BG,Distal,0.05,Southern Panamints,burro kills present
Willow Spring,Lowest pool,river_right,Upstream,1,Willow Spring_Lowest pool_river_right_Upstream_1_Distal,rock,Distal,0.2,Southern Panamints,burro kills present
Willow Spring,Lowest pool,river_right,Upstream,1,Willow Spring_Lowest pool_river_right_Upstream_1_Distal,Herb,Distal,0.1,Southern Panamints,burro kills present
Willow Spring,Lowest pool,river_right,Upstream,1,Willow Spring_Lowest pool_river_right_Upstream_1_Distal,litter,Distal,0.05,Southern Panamints,burro kills present
Willow Spring,Lowest pool,river_right,Upstream,1,Willow Spring_Lowest pool_river_right_Upstream_1_Distal,Upland shrub,Distal,0.05,Southern Panamints,burro kills present
Willow Spring,Lowest pool,river_right,Upstream,2,Willow Spring_Lowest pool_river_right_Upstream_2_Middle,rock,Middle,1,Southern Panamints,burro kills present
Willow Spring,Lowest pool,river_right,Upstream,3,Willow Spring_Lowest pool_river_right_Upstream_3_Proximate,rock,Proximate,1,Southern Panamints,burro kills present
Willow Spring,Lowest pool,river_right,Downstream,1,Willow Spring_Lowest pool_river_right_Downstream_1_Proximate,Riparian,Proximate,1,Southern Panamints,burro kills present
Willow Spring,Lowest pool,river_right,Downstream,2,Willow Spring_Lowest pool_river_right_Downstream_2_Middle,BG,Middle,0.65,Southern Panamints,burro kills present
Willow Spring,Lowest pool,river_right,Downstream,2,Willow Spring_Lowest pool_river_right_Downstream_2_Middle,litter,Middle,0.2,Southern Panamints,burro kills present
Willow Spring,Lowest pool,river_right,Downstream,2,Willow Spring_Lowest pool_river_right_Downstream_2_Middle,Upland shrub,Middle,0.1,Southern Panamints,burro kills present
Willow Spring,Lowest pool,river_right,Downstream,2,Willow Spring_Lowest pool_river_right_Downstream_2_Middle,rock,Middle,0.15,Southern Panamints,burro kills present
Willow Spring,Lowest pool,river_right,Downstream,3,Willow Spring_Lowest pool_river_right_Downstream_3_Distal,Upland shrub,Distal,0.3,Southern Panamints,burro kills present
Willow Spring,Lowest pool,river_right,Downstream,3,Willow Spring_Lowest pool_river_right_Downstream_3_Distal,litter,Distal,0.5,Southern Panamints,burro kills present
Willow Spring,Lowest pool,river_right,Downstream,3,Willow Spring_Lowest pool_river_right_Downstream_3_Distal,BG,Distal,0.6,Southern Panamints,burro kills present
Willow Spring,Lowest pool,river_right,Downstream,3,Willow Spring_Lowest pool_river_right_Downstream_3_Distal,rock,Distal,0.1,Southern Panamints,burro kills present
Willow Spring,Upstream pool,river_left,Central,1,Willow Spring_Upstream pool_river_left_Central_1_Proximate,trampled BG,Proximate,0.65,Southern Panamints,burro kills present
Willow Spring,Upstream pool,river_left,Central,1,Willow Spring_Upstream pool_river_left_Central_1_Proximate,rock,Proximate,0.35,Southern Panamints,burro kills present
Willow Spring,Upstream pool,river_left,Central,2,Willow Spring_Upstream pool_river_left_Central_2_Middle,Upland shrub,Middle,0.61,Southern Panamints,burro kills present
Willow Spring,Upstream pool,river_left,Central,2,Willow Spring_Upstream pool_river_left_Central_2_Middle,rock,Middle,0.4,Southern Panamints,burro kills present
Willow Spring,Upstream pool,river_left,Central,2,Willow Spring_Upstream pool_river_left_Central_2_Middle,Herb,Middle,0.1,Southern Panamints,burro kills present
Willow Spring,Upstream pool,river_left,Central,2,Willow Spring_Upstream pool_river_left_Central_2_Middle,litter,Middle,0.1,Southern Panamints,burro kills present
Willow Spring,Upstream pool,river_left,Central,3,Willow Spring_Upstream pool_river_left_Central_3_Distal,Upland shrub,Distal,0.5,Southern Panamints,burro kills present
Willow Spring,Upstream pool,river_left,Central,3,Willow Spring_Upstream pool_river_left_Central_3_Distal,BG,Distal,0.05,Southern Panamints,burro kills present
Willow Spring,Upstream pool,river_left,Central,3,Willow Spring_Upstream pool_river_left_Central_3_Distal,Herb,Distal,0.05,Southern Panamints,burro kills present
Willow Spring,Upstream pool,river_left,Central,3,Willow Spring_Upstream pool_river_left_Central_3_Distal,rock,Distal,0.95,Southern Panamints,burro kills present
Willow Spring,Upstream pool,river_left,Upstream,1,Willow Spring_Upstream pool_river_left_Upstream_1_Distal,Upland shrub,Distal,0.05,Southern Panamints,burro kills present
Willow Spring,Upstream pool,river_left,Upstream,1,Willow Spring_Upstream pool_river_left_Upstream_1_Distal,Herb,Distal,0.05,Southern Panamints,burro kills present
Willow Spring,Upstream pool,river_left,Upstream,1,Willow Spring_Upstream pool_river_left_Upstream_1_Distal,rock,Distal,0.95,Southern Panamints,burro kills present
Willow Spring,Upstream pool,river_left,Upstream,2,Willow Spring_Upstream pool_river_left_Upstream_2_Middle,Herb,Middle,0.05,Southern Panamints,burro kills present
Willow Spring,Upstream pool,river_left,Upstream,2,Willow Spring_Upstream pool_river_left_Upstream_2_Middle,Upland shrub,Middle,0.05,Southern Panamints,burro kills present
Willow Spring,Upstream pool,river_left,Upstream,2,Willow Spring_Upstream pool_river_left_Upstream_2_Middle,rock,Middle,0.7,Southern Panamints,burro kills present
Willow Spring,Upstream pool,river_left,Upstream,2,Willow Spring_Upstream pool_river_left_Upstream_2_Middle,trampled BG,Middle,0.1,Southern Panamints,burro kills present
Willow Spring,Upstream pool,river_left,Upstream,3,Willow Spring_Upstream pool_river_left_Upstream_3_Proximate,Riparian,Proximate,1,Southern Panamints,burro kills present
Willow Spring,Upstream pool,river_left,Downstream,1,Willow Spring_Upstream pool_river_left_Downstream_1_Proximate,trampled BG,Proximate,0.9,Southern Panamints,burro kills present
Willow Spring,Upstream pool,river_left,Downstream,1,Willow Spring_Upstream pool_river_left_Downstream_1_Proximate,rock,Proximate,0.05,Southern Panamints,burro kills present
Willow Spring,Upstream pool,river_left,Downstream,2,Willow Spring_Upstream pool_river_left_Downstream_2_Middle,rock,Middle,0.95,Southern Panamints,burro kills present
Willow Spring,Upstream pool,river_left,Downstream,2,Willow Spring_Upstream pool_river_left_Downstream_2_Middle,BG,Middle,0.05,Southern Panamints,burro kills present
Willow Spring,Upstream pool,river_left,Downstream,3,Willow Spring_Upstream pool_river_left_Downstream_3_Distal,rock,Distal,1,Southern Panamints,burro kills present
