Site,year,days_since,years_since,response,mean_G,mean_UG,sd_G,sd_UG,n_G,n_UG
BAL,2001,730,2,Plant N,1.84856424242424,1.72693382393939,0.172006833609693,0.222135300479803,12,12
BAL,2001,730,2,Plant P,0.160335324064511,0.176640661582276,0.0132200669144953,0.0149887637804309,12,12
BAL,2008,3285,9,Soil N,0.188846588333333,0.199,0.0955296208641124,0.0564269439186635,12,12
BAL,2008,3285,9,Soil P,0.0292096916666667,0.036,0.0040970348514708,0.00793725393319377,12,12
BAL,2016,6205,17,Plant N,1.96319568181818,1.94152084171952,0.12098639121419,0.149115008968974,12,12
BAL,2016,6205,17,Plant P,0.320886113860202,0.336620839107145,0.0122516034136838,0.0112074903624286,12,12
BAL,2016,6205,17,Soil N,0.13,0.163333333333333,0.02,0.0251661147842358,12,12
BAL,2016,6205,17,Soil P,0.00997722649686035,0.0107179181038295,0.00114712297316713,0.00170868342288429,12,12
BRS,2001,730,2,Plant N,2.41348273333333,2.36814626666667,0.281448418227734,0.0426322571212616,12,12
BRS,2001,730,2,Plant P,0.401401201861151,0.335309686735528,0.1335247359499,0.0602906544429889,12,12
BRS,2008,3285,9,Soil N,0.339146938666667,0.178333333333333,0.0203794074300209,0.0393996615890712,12,12
BRS,2008,3285,9,Soil P,0.109156831,0.117333333333333,0.0090150389463593,0.00723417813807023,12,12
BRS,2016,6205,17,Plant N,2.58556338333333,2.44786831692308,0.217706868057976,0.128495363485338,12,12
BRS,2016,6205,17,Plant P,0.455930004210226,0.423807803778119,0.0636661386350343,0.0475003425978626,12,12
BRS,2016,6205,17,Soil N,0.316666666666667,0.33,0.0378593889720018,0.02,12,12
BRS,2016,6205,17,Soil P,0.0469565313522597,0.0490017245953834,0.00246146679913022,0.00484315530197342,12,12
KCW,2001,730,2,Plant N,2.09073901666667,1.84774053611111,0.088918781718156,0.14740058340644,12,12
KCW,2001,730,2,Plant P,0.104664963734431,0.108689545275299,0.00219268718746998,0.00785604046063811,12,12
KCW,2008,3285,9,Soil N,0.222226722666667,0.214666666666667,0.041906667997127,0.0476480149988783,12,12
KCW,2008,3285,9,Soil P,0.00603365866666667,0.00566666666666667,0.00135311907139628,0.00208166599946613,12,12
KCW,2016,6205,17,Plant N,2.14219898680556,1.95840316875,0.104921469285726,0.178591570767484,12,12
KCW,2016,6205,17,Plant P,0.160920642350429,0.149806411718667,0.00926366291733603,0.01274566867368,12,12
KCW,2016,6205,17,Soil N,0.15,0.173333333333333,0.01,0.0208166599946613,12,12
KCW,2016,6205,17,Soil P,0.00744560891483152,0.00721345184399045,0.00102972769277395,0.00391519091625729,12,12
KUH,2001,730,2,Plant N,1.77477356111111,1.72366104722222,0.0960603268866501,0.166587483742492,12,12
KUH,2001,730,2,Plant P,0.102063952148027,0.0909903532663426,0.0279212449824072,0.0204388169093717,12,12
KUH,2008,3285,9,Soil N,0.109362847333333,0.145333333333333,0.0387788477023993,0.0702092111715645,12,12
KUH,2008,3285,9,Soil P,0.007461792,0.00766666666666667,0.00183781988396796,0.000577350269189626,12,12
KUH,2016,6205,17,Plant N,1.85118126666667,1.76543100625,0.0273461981145604,0.141210674172391,12,12
KUH,2016,6205,17,Plant P,0.16861561533217,0.162087271801124,0.0143445586870471,0.0178700285867583,12,12
KUH,2016,6205,17,Soil N,0.19,0.16,0.0173205080756888,0.01,12,12
KUH,2016,6205,17,Soil P,0.00706973556204121,0.00657225612452463,0.00180753397852983,0.00162521229910118,12,12
MSB,2001,730,2,Plant N,2.15757055050505,1.76411329722222,0.351792101158465,0.0899217563667646,12,12
MSB,2001,730,2,Plant P,0.200459175399864,0.206732822704884,0.0411966065310189,0.0208859303427542,12,12
MSB,2008,3285,9,Soil N,0.181327981333333,0.0943333333333333,0.116892717748158,0.0782389502315396,12,12
MSB,2008,3285,9,Soil P,0.063188306,0.0753333333333333,0.0051981819124971,0.0188237438713273,12,12
MSB,2016,6205,17,Plant N,2.12603901010101,1.9936880520202,0.0524258382504732,0.154546262907351,12,12
MSB,2016,6205,17,Plant P,0.397357730343789,0.369474318509201,0.0680424648141183,0.0164566441982505,12,12
MSB,2016,6205,17,Soil N,0.163333333333333,0.176666666666667,0.0115470053837925,0.0152752523165195,12,12
MSB,2016,6205,17,Soil P,0.0331597682851331,0.0417219421597241,0.0200397463690389,0.00382423329938964,12,12
SOT,2001,730,2,Plant N,1.88592225666667,1.83005484,0.0519499580930016,0.0970533060300096,12,12
SOT,2001,730,2,Plant P,0.258971813314559,0.232562227462811,0.0308643473774953,0.0247882312433883,12,12
SOT,2008,3285,9,Soil N,0.103674677333333,0.108333333333333,0.0410035434766457,0.0300222139978605,12,12
SOT,2008,3285,9,Soil P,0.121759439666667,0.126,0.014688750899771,0.0104403065089106,12,12
SOT,2016,6205,17,Plant N,2.1109803725,2.03475920166667,0.06848674487452,0.180191356279568,12,12
SOT,2016,6205,17,Plant P,0.443739790413211,0.395642919202864,0.00158400661699144,0.0509501512989416,12,12
SOT,2016,6205,17,Soil N,0.196666666666667,0.24,0.0378593889720018,0.0360555127546399,12,12
SOT,2016,6205,17,Soil P,0.0395496152825683,0.0387204828867074,0.00294779597284279,0.00203770989112572,12,12
TOG,2001,730,2,Plant N,1.87052575384615,1.87396459487179,0.220500705006955,0.261867819391329,12,12
TOG,2001,730,2,Plant P,0.26142838036354,0.327168006570559,0.0362151503920408,0.0568966055630753,12,12
TOG,2008,3285,9,Soil N,0.120107119,0.172666666666667,0.0855602334304356,0.0937354433143266,12,12
TOG,2008,3285,9,Soil P,0.0601623793333333,0.0623333333333333,0.00679303803433238,0.00802080627701065,12,12
TOG,2016,6205,17,Plant N,2.11562900576923,2.04441203230769,0.175931268461609,0.15894812204444,12,12
TOG,2016,6205,17,Plant P,0.495121572901529,0.498132988620914,0.0498954705697812,0.0133004900219332,12,12
TOG,2016,6205,17,Soil N,0.136666666666667,0.153333333333333,0.0115470053837925,0.0152752523165195,12,12
TOG,2016,6205,17,Soil P,0.0139681170956045,0.0144545414345096,0.00147960838491466,0.000584249149275838,12,12
