Year,Level,Treatment,Block,Plot_ID,richness,shannon,MPD,berger
2019,Arid,Open,1,AR_1_O,30.16666667,2.335879548,58.82209819,0.31104
2019,Arid,Open,2,AR_2_O,30,2.444469762,58.74669285,0.256371667
2019,Arid,Open,3,AR_3_O,28.5,2.156306925,55.363338,0.34036
2019,Arid,Partial,1,AR_1_P,35,2.50781574,46.9454656,0.325013333
2019,Arid,Partial,2,AR_2_P,31,2.216610851,46.39878643,0.329373333
2019,Arid,Partial,3,AR_3_P,30.83333333,2.213458911,39.31634419,0.307526667
2019,Arid,Total,1,AR_1_T,18.33333333,1.44661818,27.71573725,0.532338333
2019,Arid,Total,2,AR_2_T,21.66666667,1.546105496,32.4185818,0.4289
2019,Arid,Total,3,AR_3_T,23,1.697773966,32.82238183,0.446876667
2019,Intermediate,Open,1,IN_1_O,18,2.123704229,40.74959337,0.348053333
2019,Intermediate,Open,2,IN_2_O,18.16666667,2.142276603,45.64873817,0.325863333
2019,Intermediate,Open,3,IN_3_O,13.66666667,1.833824343,44.63779519,0.386915
2019,Intermediate,Partial,1,IN_1_P,20.16666667,1.957167367,38.63111991,0.413331667
2019,Intermediate,Partial,2,IN_2_P,13,1.462826744,26.30067738,0.592331667
2019,Intermediate,Partial,3,IN_3_P,14.83333333,1.785504379,36.44150635,0.440473333
2019,Intermediate,Total,1,IN_1_T,16.16666667,1.83082115,38.60497864,0.408828333
2019,Intermediate,Total,2,IN_2_T,17.5,1.972717034,37.20890307,0.43137
2019,Intermediate,Total,3,IN_3_T,11.83333333,1.453000154,33.67639141,0.540401667
2019,Mesic,Open,1,ME_1_O,16.5,2.183648325,37.29253224,0.30049
2019,Mesic,Open,2,ME_2_O,14,1.935711336,41.25534064,0.360138333
2019,Mesic,Open,3,ME_3_O,24.16666667,2.233366217,32.95079011,0.314753333
2019,Mesic,Partial,1,ME_1_P,22,2.347717994,42.63141845,0.325145
2019,Mesic,Partial,2,ME_2_P,22.83333333,2.228705181,36.31121158,0.318441667
2019,Mesic,Partial,3,ME_3_P,27.16666667,2.511772224,40.80823867,0.280716667
2019,Mesic,Total,1,ME_1_T,22.33333333,2.228385991,35.96177469,0.354185
2019,Mesic,Total,2,ME_2_T,24.16666667,2.316214538,29.53960653,0.281546667
2019,Mesic,Total,3,ME_3_T,27.33333333,2.501272187,43.3701942,0.273623333