fid,Plot_ID,Type,Exclosure_,Species_Co,Notes.x,Survey_Dat,Latitude,Longitude,Lab_ID,N,C,P,K,Na,Ca,Mg,Al,ECEC,Notes.y,n_obs,log_obs,n_fec,log_fec,X,Y,Excl_Treatment,N_g_per_g,N_P,N_Ca,P_Ca
1,AC1,Exclosure,A,Deschampsia_flexuosa,,2023/04/26 09:39:42.000,56.2506816666667,8.93617333333333,1,28.1,46.01,1.838574056,18.92185121,0.222674227,1.084655687,1.154840443,,,"",73,4.30406509320417,15,2.77258872223978,496045.075904385,6233982.17956343,"A 
Exclosure",0.0281,15.2835834424501,25.9068387662453,1.6950762145407
2,AC2,Exclosure,A,Deschampsia_flexuosa,,2023/04/26 10:02:17.000,56.250935,8.936365,2,25.7,45.68,1.89525596,17.25066012,0.311265158,1.136625335,1.401581972,,,"",57,4.06044301054642,16,2.83321334405622,496056.978279986,6234010.36503913,"A 
Exclosure",0.0257,13.5601736875688,22.6107928519823,1.66744124175272
3,AC3,Exclosure,A,Deschampsia_flexuosa,,2023/04/26 10:13:07.000,56.2510916666667,8.93631666666667,3,31.3,44.43,2.870886808,20.30579749,0.478107975,1.296130055,1.75658628,,,"",50,3.93182563272433,16,2.83321334405622,496053.99951253,6234027.80509072,"A 
Exclosure",0.0313,10.9025545391687,24.1488112086098,2.21496816382365
4,AT1,Grazed,A,Deschampsia_flexuosa,,2023/04/26 10:26:26.000,56.250795,8.93605333333333,4,29.9,46.01,2.313200897,19.9283501,0.435793849,1.035328328,1.260526839,,,"",67,4.21950770517611,18,2.94443897916644,496037.651990663,6233994.80066264,"A 
Grazed",0.0299,12.9258120376736,28.8797275138404,2.23426794615824
5,AT2,Grazed,A,Deschampsia_flexuosa,,2023/04/26 10:37:20.000,56.2510066666667,8.93625833333333,5,30.1,44.06,2.57327799,21.8083157,0.306553741,1.40769336,1.537108485,,,"",54,4.00733318523247,16,2.83321334405622,496050.376262505,6234018.34777809,"A 
Grazed",0.0301,11.6971427560378,21.3824976769088,1.82801032037261
6,AT3,Grazed,A,Deschampsia_flexuosa,,2023/04/26 10:55:03.000,56.2512083333333,8.93627666666667,6,21.5,45.53,1.725245124,15.74802969,0.342723711,1.197435003,1.251136075,,,"",49,3.91202300542815,16,2.83321334405622,496051.533007319,6234040.79259443,"A 
Grazed",0.0215,12.4619972552955,17.9550455316029,1.44078394207422
7,BC1,Exclosure,B,Deschampsia_flexuosa,,2023/04/26 11:39:57.000,56.2411133333333,8.95090666666667,7,21.2,46.1,2.75874491,18.620734,0.157522888,1.743875592,0.992627409,,,"",294,5.68697535633982,15,2.77258872223978,496957.246117694,6232916.45944477,"B 
Exclosure",0.0212,7.68465396099272,12.1568305085837,1.58196199468339
9,BC2,Exclosure,B,Deschampsia_flexuosa,,2023/04/26 11:46:47.000,56.2412266666667,8.95064666666667,8,26.9,45.84,2.856606474,22.13059533,0.090736814,1.0803791,1.050266489,,,"",330,5.80211837537706,18,2.94443897916644,496941.14062235,6232929.08514161,"B 
Exclosure",0.0269,9.41676784843693,24.8986675140235,2.64407787414621
10,BC3,Exclosure,B,Deschampsia_flexuosa,,2023/04/26 11:49:32.000,56.2410516666667,8.95064666666667,9,25.7,45.46,2.559716566,23.08439455,0.139999776,1.269019814,1.157493456,,,"",349,5.85793315448346,18,2.94443897916644,496941.126673605,6232909.60735288,"B 
Exclosure",0.0257,10.0401741119958,20.2518508509277,2.01708163872688
11,BT1,Grazed,B,Deschampsia_flexuosa,,2023/04/26 11:57:51.000,56.2411216666667,8.95113,10,23.6,45.71,2.379484312,18.92728541,0.205859417,1.083026834,0.987720981,,,"",248,5.51745289646471,15,2.77258872223978,496971.088742498,6232917.37712044,"B 
Grazed",0.0236,9.91811540045993,21.7907804858693,2.19706865730346
13,BT2,Grazed,B,Deschampsia_flexuosa,,2023/04/26 12:19:34.000,56.241325,8.950635,11,24.1,45.88,3.315865313,23.48094564,0.188950496,1.438473891,1.199897979,,,"",326,5.78996017089725,20,3.04452243772342,496940.425376385,6232940.03032198,"B 
Grazed",0.0241,7.26808773128235,16.7538668242676,2.30512721415811
12,BT3,Grazed,B,Deschampsia_flexuosa,,2023/04/26 12:09:42.000,56.2408983333333,8.95056,12,28.1,45.9,2.061476055,20.75353304,0.100490672,0.901818649,0.91730312,,,"",385,5.95583736946483,18,2.94443897916644,496935.742912177,6232892.54495048,"B 
Grazed",0.0281,13.6310096505099,31.1592580516707,2.28590976388203
14,CC1,Exclosure,C,Deschampsia_flexuosa,,2023/04/26 12:58:39.000,56.2383933333333,8.92902166666667,13,24.5,45.7,2.268067069,21.13922629,0.109002166,1.029994305,1.058549128,,,"",56,4.04305126783455,22,3.13549421592915,495600.52494569,6232614.90069766,"C 
Exclosure",0.0245,10.8021496960415,23.7865392857682,2.20201903834798
15,CC2,Exclosure,C,Deschampsia_flexuosa,,2023/04/26 13:04:10.000,56.2382183333333,8.92886666666667,14,26.4,45.46,2.269240697,20.97042751,0.106710058,0.942523425,1.09900735,,,"",65,4.18965474202643,16,2.83321334405622,495590.897424176,6232595.43282627,"C 
Exclosure",0.0264,11.6338474075939,28.0099139180546,2.40762259781501
16,CC3,Exclosure,C,Deschampsia_flexuosa,,2023/04/26 13:10:31.000,56.2381466666667,8.9292,15,23.5,45.92,2.12913862,17.44850301,0.151192518,1.353788218,1.116914215,,,"",63,4.15888308335967,21,3.09104245335832,495611.550437472,6232587.43493782,"C 
Exclosure",0.0235,11.0373273864151,17.3586973852656,1.57272651046221
19,CT1,Grazed,C,Deschampsia_flexuosa,,2023/04/26 13:23:53.000,56.2384583333333,8.92906,16,19,45.4,2.120528661,19.40062905,0.185186644,1.198569851,1.16,,,"",52,3.97029191355212,27,3.3322045101752,495602.908420565,6232622.13285423,"C 
Grazed",0.019,8.96002980268136,15.8522258708141,1.76921575261616
18,CT2,Grazed,C,Deschampsia_flexuosa,,2023/04/26 13:17:24.000,56.238185,8.928615,17,33.2,45.51,2.730870919,22.28983387,0.118270767,1.156223734,1.41,,,"",64,4.17438726989564,15,2.77258872223978,495575.29436959,6232591.73890263,"C 
Grazed",0.0332,12.1572937662529,28.714165800025,2.36188796224797
17,CT3,Grazed,C,Deschampsia_flexuosa,,2023/04/26 13:11:56.000,56.2380883333333,8.929375,18,23.6,45.37,2.311902879,21.39775328,0.211257003,1.043440718,1,,,"",62,4.14313472639153,21,3.09104245335832,495622.390938428,6232580.93121623,"C 
Grazed",0.0236,10.2080412695398,22.6174804115704,2.2156533084422
20,DC1,Exclosure,D,Deschampsia_flexuosa,,2023/04/26 14:08:09.000,56.2557566666667,8.907865,19,27.8,45.87,2.101821608,20.77876583,0.320199987,0.795783792,1.16,,,"",3,1.38629436111989,2,1.09861228866811,494291.748059652,6234549.02137037,"D 
Exclosure",0.0278,13.226622037849,34.9341118523309,2.64119680386755
21,DC2,Exclosure,D,Deschampsia_flexuosa,,2023/04/26 14:12:26.000,56.255435,8.90728666666666,20,23.5,45.84,1.783899865,16.63997039,0.308455102,0.945140584,1.19,,,"",2,1.09861228866811,4,1.6094379124341,494255.869081104,6234513.26732959,"D 
Exclosure",0.0235,13.1733851552256,24.864025942621,1.88744393712333
22,DC3,Exclosure,D,Deschampsia_flexuosa,,2023/04/26 14:14:38.000,56.2552166666667,8.90662666666666,21,28,45.66,1.791561492,18.42722136,0.366691706,0.992855772,1.13,,,"",3,1.38629436111989,3,1.38629436111989,494214.945321003,6234489.02163791,"D 
Exclosure",0.028,15.6288244221762,28.201477787249,1.80445291504031
23,DT1,Grazed,D,Deschampsia_flexuosa,,2023/04/26 14:21:41.000,56.255855,8.90748333333333,22,27.4,46.09,2.187020936,18.02598702,0.365113076,1.113303487,1.45,,,"",4,1.6094379124341,2,1.09861228866811,494268.116488347,6234559.99773875,"D 
Grazed",0.0274,12.5284580266131,24.611438228613,1.96444272522071
24,DT2,Grazed,D,Deschampsia_flexuosa,,2023/04/26 14:25:23.000,56.2554583333333,8.90707833333333,23,27.6,45.88,2.609413437,19.39826254,0.37801229,1.170509273,1.27,,,"",2,1.09861228866811,3,1.38629436111989,494242.965124446,6234515.8817601,"D 
Grazed",0.0276,10.5770897047772,23.5794800063921,2.22929753500552
25,DT3,Grazed,D,Deschampsia_flexuosa,,2023/04/26 14:29:50.000,56.2553966666667,8.90628333333333,24,28.8,45.81,2.849849423,21.84090538,0.448680724,1.152442672,1.64,,,"",6,1.94591014905531,2,1.09861228866811,494193.700956306,6234509.08485195,"D 
Grazed",0.0288,10.1057970879327,24.9903970928282,2.47287738665061
1,AC1,Exclosure,A,Soil,,2023/04/26 09:39:42.000,56.2506816666667,8.93617333333333,25,1.3,3.04,0.0062664,0.207192459,0.065887024,0.3396776400816,0.513214077,1.573449062,4.470459329,"For Al, Mg, Ca, Na, K it is cmolc/kg",73,4.30406509320417,15,2.77258872223978,496045.075904385,6233982.17956343,"A 
Exclosure",0.0013,207.45563641006,3.8271580068906,0.0184480791802918
2,AC2,Exclosure,A,Soil,,2023/04/26 10:02:17.000,56.250935,8.936365,26,1.2,2.97,0.0043554,0.092330633,0.049704231,0.1096419606288,0.28527983,2.198768141,3.882872479,"For Al, Mg, Ca, Na, K it is cmolc/kg",57,4.06044301054642,16,2.83321334405622,496056.978279986,6234010.36503913,"A 
Exclosure",0.0012,275.520044083207,10.9447148985476,0.0397238427242786
3,AC3,Exclosure,A,Soil,,2023/04/26 10:13:07.000,56.2510916666667,8.93631666666667,27,0.9,2.36,0.0039564,0.096790026,0.048437592,0.1450861503144,0.34353636,0.515515738,1.734088703,"For Al, Mg, Ca, Na, K it is cmolc/kg",50,3.93182563272433,16,2.83321334405622,496053.99951253,6234027.80509072,"A 
Exclosure",9e-04,227.479526842584,6.20321097533921,0.0272693154475912
4,AT1,Grazed,A,Soil,,2023/04/26 10:26:26.000,56.250795,8.93605333333333,28,0.9,2.07,0.0066864,0.175433341,0.057151599,0.1892738689536,0.525817884,0.536092993,2.246643017,"For Al, Mg, Ca, Na, K it is cmolc/kg",67,4.21950770517611,18,2.94443897916644,496037.651990663,6233994.80066264,"A 
Grazed",9e-04,134.601579325197,4.75501454572492,0.035326588065039
5,AT2,Grazed,A,Soil,,2023/04/26 10:37:20.000,56.2510066666667,8.93625833333333,29,1,2.38,0.0209594,0.10533715,0.061966157,0.1974982536912,0.442919842,1.238928019,2.94764993,"For Al, Mg, Ca, Na, K it is cmolc/kg",54,4.00733318523247,16,2.83321334405622,496050.376262505,6234018.34777809,"A 
Grazed",0.001,47.7112894453085,5.06333590961041,0.106124482663888
6,AT3,Grazed,A,Soil,,2023/04/26 10:55:03.000,56.2512083333333,8.93627666666667,30,1.5,3.74,0.0041944,0.12307141,0.047360367,0.1301644063944,0.422449984,2.486704157,3.85430992,"For Al, Mg, Ca, Na, K it is cmolc/kg",49,3.91202300542815,16,2.83321334405622,496051.533007319,6234040.79259443,"A 
Grazed",0.0015,357.619683387374,11.5238876859698,0.0322238630066879
7,BC1,Exclosure,B,Soil,,2023/04/26 11:39:57.000,56.2411133333333,8.95090666666667,31,1.3,3.1,0.0274694,0.145269777,0.055452831,0.8731941228408,0.502116623,0.319361875,3.409467282,"For Al, Mg, Ca, Na, K it is cmolc/kg",294,5.68697535633982,15,2.77258872223978,496957.246117694,6232916.45944477,"B 
Exclosure",0.0013,47.3253875221155,1.48878693293383,0.0314585259811789
9,BC2,Exclosure,B,Soil,,2023/04/26 11:46:47.000,56.2412266666667,8.95064666666667,32,7.1,20.07,0.0244594,0.156591438,0.068979545,1.2035059041936,0.927851907,0.585168881,5.140848799,"For Al, Mg, Ca, Na, K it is cmolc/kg",330,5.80211837537706,18,2.94443897916644,496941.14062235,6232929.08514161,"B 
Exclosure",0.0071,290.276948739544,5.89943096686119,0.0203234565902598
10,BC3,Exclosure,B,Soil,,2023/04/26 11:49:32.000,56.2410516666667,8.95064666666667,33,3.5,8.51,0.0089894,0.213323733,0.061824199,0.9079720378368,0.818322219,0.935411816,5.58820278,"For Al, Mg, Ca, Na, K it is cmolc/kg",349,5.85793315448346,18,2.94443897916644,496941.126673605,6232909.60735288,"B 
Exclosure",0.0035,389.347453667653,3.85474425879742,0.0099005251542953
11,BT1,Grazed,B,Soil,,2023/04/26 11:57:51.000,56.2411216666667,8.95113,34,3.4,8.27,0.0077994,0.246350587,0.074797773,0.4239215343672,0.563623507,0.427589556,2.921126993,"For Al, Mg, Ca, Na, K it is cmolc/kg",248,5.51745289646471,15,2.77258872223978,496971.088742498,6232917.37712044,"B 
Grazed",0.0034,435.930969048901,8.02035217454872,0.0183982161029927
13,BT2,Grazed,B,Soil,,2023/04/26 12:19:34.000,56.241325,8.950635,35,4.8,10.21,0.0237594,0.418435831,0.113010217,1.9624085383104,1.562276123,0.466874312,8.60395106,"For Al, Mg, Ca, Na, K it is cmolc/kg",326,5.78996017089725,20,3.04452243772342,496940.425376385,6232940.03032198,"B 
Grazed",0.0048,202.025303669285,2.44597386644716,0.0121072648921801
12,BT3,Grazed,B,Soil,,2023/04/26 12:09:42.000,56.2408983333333,8.95056,36,2.4,4.51,0.0069594,0.355673442,0.071471082,0.7165199070552,0.737026616,0.302206601,3.655228792,"For Al, Mg, Ca, Na, K it is cmolc/kg",385,5.95583736946483,18,2.94443897916644,496935.742912177,6232892.54495048,"B 
Grazed",0.0024,344.857315285801,3.34952312750622,0.00971277968898616
14,CC1,Exclosure,C,Soil,,2023/04/26 12:58:39.000,56.2383933333333,8.92902166666667,37,6.2,12.75,0.0117194,0.316731639,0.164182888,1.0067767436184,1.653711082,1.318657542,7.511210298,"For Al, Mg, Ca, Na, K it is cmolc/kg",56,4.04305126783455,22,3.13549421592915,495600.52494569,6232614.90069766,"C 
Exclosure",0.0062,529.037322729833,6.15826700338441,0.0116405152128167
15,CC2,Exclosure,C,Soil,,2023/04/26 13:04:10.000,56.2382183333333,8.92886666666667,38,2.2,6.19,0.0056784,0.134033791,0.044996878,0.1522015270632,0.403918174,1.920813976,3.474026506,"For Al, Mg, Ca, Na, K it is cmolc/kg",65,4.18965474202643,16,2.83321334405622,495590.897424176,6232595.43282627,"C 
Exclosure",0.0022,387.433079740772,14.4545198885322,0.0373084298795643
16,CC3,Exclosure,C,Soil,,2023/04/26 13:10:31.000,56.2381466666667,8.9292,39,1.7,3.83,0.0103194,0.071126895,0.052547009,0.2422285845888,0.4121369,1.261157289,3.46817354,"For Al, Mg, Ca, Na, K it is cmolc/kg",63,4.15888308335967,21,3.09104245335832,495611.550437472,6232587.43493782,"C 
Exclosure",0.0017,164.738259976355,7.01816428018134,0.0426019085134725
19,CT1,Grazed,C,Soil,,2023/04/26 13:23:53.000,56.2384583333333,8.92906,40,2.9,6.72,0.0136094,0.101933903,0.046625724,0.3756433014288,0.664780367,2.000029452,4.549907113,"For Al, Mg, Ca, Na, K it is cmolc/kg",52,3.97029191355212,27,3.3322045101752,495602.908420565,6232622.13285423,"C 
Grazed",0.0029,213.088012697106,7.7200897472936,0.036229582554075
18,CT2,Grazed,C,Soil,,2023/04/26 13:17:24.000,56.238185,8.928615,41,2.1,5.4,0.0121394,0.054750425,0.034222137,0.1343646641424,0.333638024,1.351361581,2.775185097,"For Al, Mg, Ca, Na, K it is cmolc/kg",64,4.17438726989564,15,2.77258872223978,495575.29436959,6232591.73890263,"C 
Grazed",0.0021,172.990427862992,15.6291091367178,0.0903466702163199
17,CT3,Grazed,C,Soil,,2023/04/26 13:11:56.000,56.2380883333333,8.929375,42,1,2.23,0.0098994,0.069081376,0.03380556,0.1175324232552,0.31890128,1.843862091,3.192366118,"For Al, Mg, Ca, Na, K it is cmolc/kg",62,4.14313472639153,21,3.09104245335832,495622.390938428,6232580.93121623,"C 
Grazed",0.001,101.016223205447,8.50829049809246,0.0842269709568165
20,DC1,Exclosure,D,Soil,,2023/04/26 14:08:09.000,56.2557566666667,8.907865,43,0.8,2.34,0.0048664,0.051204679,0.042338943,0.0538530459096,0.334017051,1.278768927,2.631257894,"For Al, Mg, Ca, Na, K it is cmolc/kg",3,1.38629436111989,2,1.09861228866811,494291.748059652,6234549.02137037,"D 
Exclosure",8e-04,164.392569455861,14.8552414536202,0.0903644337623715
21,DC2,Exclosure,D,Soil,,2023/04/26 14:12:26.000,56.255435,8.90728666666666,44,1.6,3.89,0.0078694,0.078883098,0.048354775,0.1814293059432,0.449182539,0.953214135,3.341088341,"For Al, Mg, Ca, Na, K it is cmolc/kg",2,1.09861228866811,4,1.6094379124341,494255.869081104,6234513.26732959,"D 
Exclosure",0.0016,203.319185706661,8.81886193458135,0.0433744700674965
22,DC3,Exclosure,D,Soil,,2023/04/26 14:14:38.000,56.2552166666667,8.90662666666666,45,2.2,5.7,0.0054474,0.118441211,0.060873526,0.1096887732672,0.463549367,1.851055694,3.786538688,"For Al, Mg, Ca, Na, K it is cmolc/kg",3,1.38629436111989,3,1.38629436111989,494214.945321003,6234489.02163791,"D 
Exclosure",0.0022,403.862393068253,20.0567472355702,0.0496623294959296
23,DT1,Grazed,D,Soil,,2023/04/26 14:21:41.000,56.255855,8.90748333333333,46,0.7,1.74,0.0088494,0.034076953,0.040526436,0.152149473564,0.31718427,1.095350026,2.676068781,"For Al, Mg, Ca, Na, K it is cmolc/kg",4,1.6094379124341,2,1.09861228866811,494268.116488347,6234559.99773875,"D 
Grazed",7e-04,79.1014080050625,4.60073888921839,0.0581625410374989
24,DT2,Grazed,D,Soil,,2023/04/26 14:25:23.000,56.2554583333333,8.90707833333333,47,2,5.53,0.0072394,0.110468346,0.077866778,0.4511407437264,0.879618463,0.676158983,4.573554245,"For Al, Mg, Ca, Na, K it is cmolc/kg",2,1.09861228866811,3,1.38629436111989,494242.965124446,6234515.8817601,"D 
Grazed",0.002,276.265988894107,4.43320632820725,0.0160468769462118
25,DT3,Grazed,D,Soil,,2023/04/26 14:29:50.000,56.2553966666667,8.90628333333333,48,1.9,4.88,0.0204694,0.066020202,0.762092953,0.181727192928,0.427984833,3.215219681,5.994842481,"For Al, Mg, Ca, Na, K it is cmolc/kg",6,1.94591014905531,2,1.09861228866811,494193.700956306,6234509.08485195,"D 
Grazed",0.0019,92.8214798675095,10.455232204862,0.112638068470633
