site,response,date,rain12,averain,mean_control,mean_exclosure,sd_control,sd_exclosure,n_control,n_exclosure,year
boolcoomatta,Dead forb percent cover,2019-nov,101.3,223,0.686793111,1.767809397,1.259734787,3.340153936,4,4,2019
boolcoomatta,Dead forb percent cover,2020-june,64.1,223,1.161564838,3.280932784,1.267694941,3.334271741,4,4,2020
boolcoomatta,Dead grass cover,2019-nov,101.3,223,0.292417482,3.365920233,0.299270057,4.876346731,4,4,2019
boolcoomatta,Dead grass cover,2020-june,64.1,223,0,0.439922195,0,0.180072137,4,4,2020
boolcoomatta,Litter percent cover,2019-nov,101.3,223,18.98251848,15.17321558,12.10863281,12.78493151,4,4,2019
boolcoomatta,Litter percent cover,2020-june,64.1,223,9.490168644,8.429509222,5.781443257,4.384606905,4,4,2020
boolcoomatta,Termite activity,2019-nov,101.3,223,1.347402598,1.188311689,1.631381658,0.915268491,4,4,2019
boolcoomatta,Termite activity,2020-june,64.1,223,1.347402598,1.188311689,1.631381658,0.915268491,4,4,2020
mungo,Dead forb percent cover,2019-nov,128.4,280,3.907170209,3.241842038,5.042020912,3.58741242,8,8,2019
mungo,Dead forb percent cover,2020-june,243.6,280,0.142811497,0.696144626,0.272204253,0.875051727,8,8,2020
mungo,Dead grass cover,2019-nov,128.4,280,0.25861312,1.956239679,0.588975745,3.258739546,8,8,2019
mungo,Dead grass cover,2020-june,243.6,280,0,0.161812298,0,0.457674292,8,8,2020
mungo,Litter percent cover,2019-nov,128.4,280,39.97280581,43.88067786,16.48114825,11.92236755,8,8,2019
mungo,Litter percent cover,2020-june,243.6,280,5.641543105,8.871458544,8.065765372,13.0534633,8,8,2020
mungo,Termite activity,2019-nov,128.4,280,2.013174751,2.067055394,1.533672652,1.152901454,7,7,2019
mungo,Termite activity,2020-june,243.6,280,2.013174751,2.067055394,1.533672652,1.152901454,7,7,2020
yathong,Dead forb percent cover,2019-nov,295.3,377,0,2.874028816,0,3.86089893,3,3,2019
yathong,Dead forb percent cover,2020-june,206.1,377,0.36036036,0.170068027,0.624162453,0.294566464,3,3,2020
yathong,Dead grass cover,2019-nov,295.3,377,0.325256396,1.709827264,0.283115057,1.598069632,3,3,2019
yathong,Dead grass cover,2020-june,206.1,377,0,4.625199363,0,8.011080292,3,3,2020
yathong,Litter percent cover,2019-nov,295.3,377,55.86438544,58.67171114,3.892398679,1.360704431,3,3,2019
yathong,Litter percent cover,2020-june,206.1,377,8.709816566,19.73767656,4.248411979,9.383942719,3,3,2020
yathong,Termite activity,2019-nov,295.3,377,1.695391414,5.534722222,1.779881461,0.732531917,3,3,2019
yathong,Termite activity,2020-june,206.1,377,1.695391414,5.534722222,1.779881461,0.732531917,3,3,2020